Age,Attrition,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
41,Yes,Sales,1,Life Sciences,1,1,2,Female,94,3,2,4,Single,5993,19479,Yes,11,3,1,80,8,1,6,0
49,No,Research & Development,8,Life Sciences,1,2,3,Male,61,2,2,2,Married,5130,24907,No,23,4,4,80,10,3,10,1
37,Yes,Research & Development,2,Other,1,4,4,Male,92,2,1,3,Single,2090,2396,Yes,15,3,2,80,7,3,0,0
33,No,Research & Development,3,Life Sciences,1,5,4,Female,56,3,1,3,Married,2909,23159,Yes,,3,3,80,8,3,8,3
27,No,Research & Development,2,Medical,,7,1,Male,40,3,1,2,Married,3468,16632,No,12,3,4,80,6,3,2,2
32,No,Research & Development,2,Life Sciences,1,8,4,Male,79,3,1,4,Single,3068,11864,No,13,3,3,80,8,2,7,3
59,No,Research & Development,3,Medical,1,10,3,Female,81,4,1,1,Married,2670,9964,Yes,20,4,1,80,12,2,1,0
30,No,Research & Development,24,Life Sciences,1,11,4,Male,67,,1,3,Divorced,2693,13335,No,22,4,2,80,1,3,1,0
38,No,Research & Development,23,Life Sciences,1,12,4,Male,44,2,3,3,Single,9526,8787,No,21,4,2,80,10,3,9,1
36,No,Research & Development,27,Medical,1,13,3,Male,94,3,2,3,Married,5237,16577,No,13,3,2,80,17,2,7,7
35,No,Research & Development,16,Medical,1,14,1,Male,84,4,1,2,Married,2426,16479,No,13,3,3,80,6,3,5,0
29,No,Research & Development,15,Life Sciences,1,15,4,Female,49,2,2,3,Single,4193,12682,Yes,12,3,4,80,10,3,9,0
31,No,Research & Development,26,Life Sciences,1,16,,Male,31,3,1,3,Divorced,2911,15170,No,17,3,4,80,5,2,5,4
34,No,Research & Development,19,Medical,1,18,2,Male,93,3,1,4,Divorced,2661,8758,No,11,3,3,80,3,3,2,1
28,Yes,Research & Development,24,Life Sciences,1,19,3,Male,50,,1,3,Single,2028,12947,Yes,14,3,2,80,6,3,4,0
29,No,Research & Development,21,Life Sciences,1,20,2,Female,51,4,3,1,Divorced,9980,10195,No,11,3,3,80,10,3,10,8
32,No,Research & Development,5,Life Sciences,,21,1,Male,80,4,1,2,Divorced,3298,15053,Yes,12,3,4,80,7,2,6,0
