Sample ID,𝑟𝐴/𝑟𝐶,Δ𝑥Pauling,Δ𝑥Mulliken,Δ𝑆mix,Δ𝛿,Element,Content ,Sintering Method
1,1.12475653,2.20216551,2.48825492,1.1055099,0.05684154,MgO, 3% TiO2,Conventional
2,1.11334027,0.52722149,2.64171348,0.80525765,0.0973465,SiC, 10% ZrO2,Hot Pressing
3,1.1003019,2.51272406,2.64767322,1.11609231,0.05036055,Al2O3, 5% Y2O3,Spark Plasma
4,0.92105994,1.54363458,2.64559468,0.73511654,0.04656945,HfC, 2% NbC,Spark Plasma
5,0.99029267,1.7373397,1.67952589,1.12693977,0.04100806,TiN, 7% AlN,Hot Pressing
6,0.50424319,0.63539118,0.90179155,0.77240566,0.02664348,TiN, 7% AlN,Conventional
7,1.19340165,0.61052948,0.69064826,0.52358496,0.0649749,MgO, 3% TiO2,Hot Pressing
8,0.71729857,2.14911361,2.27735606,1.40332346,0.05094893,Al2O3, 5% Y2O3,Conventional
9,1.43490559,2.11154467,2.10570844,1.35597134,0.08993548,SiC, 10% ZrO2,Spark Plasma
10,0.55241098,0.93682999,1.31254613,1.09695904,0.06538156,SiC, 10% ZrO2,Conventional
11,1.40773794,2.40600265,0.90398914,1.17901204,0.07599653,SiC, 10% ZrO2,Conventional
12,1.35511462,0.76415072,1.66248168,0.72972619,0.02306626,HfC, 2% NbC,Spark Plasma
13,1.00886864,0.92997519,0.81129922,0.87197867,0.02873177,Al2O3, 5% Y2O3,Hot Pressing
14,0.57382627,2.06421188,2.20019352,0.64002523,0.09527933,Al2O3, 5% Y2O3,Conventional
15,1.40289284,2.27934936,2.39185492,0.60337146,0.03074301,MgO, 3% TiO2,Hot Pressing
16,1.2354908,0.73050562,0.87495069,0.61056526,0.01557092,SiC, 10% ZrO2,Conventional
17,0.79947119,2.52587758,0.50923124,1.20086873,0.0219795,Al2O3, 5% Y2O3,Hot Pressing
18,0.73604064,2.3379375,2.11334686,0.70789522,0.0185802,MgO, 3% TiO2,Spark Plasma
